,Unnamed: 0,source_id,l,b,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,KinematicNetworkOut_0,b_old,dec_old,feH,g_mag,l_old,parallax_old,parallax_err,plx_over_error,pmdec_old,pmdec_err,pmra_old,pmra_err,r,r_err,r_helio,ra_old,source_id_string,vU,vU_err,vV,vV_err,vW,vW_err,vabs,vabs_err,vabs_err_nocov,vphi,vphi_err,vr,vr_err,vtheta,vtheta_err,x,x_err,y,y_err,z,z_err,Score_Old,KinematicWeights
94,94,463072348679602176,139.00927510794435,1.85271132962888,46.93803905925022,60.39763131864498,3.4603295348835617,-7.18864214170522,-3.7811480575309546,10.343232,10.639135,9.907516,-19.990408318289088,0.04386653,1.85271132962888,1.0541375269159992,0.0,10.343232,139.00927510794435,3.4603295348835617,0.0486433221903429,71.13679,-3.7811480575309546,0.0686205253397601,-7.18864214170522,0.0659729394606657,8.220239720407871,0.0031257458457582,0.289862740142014,0.8192233260136181,r463072348679602176,18.698384021093585,0.6802434268920151,-8.31372613607772,0.5888122797575953,-10.230383335276027,0.1742845537564996,232.70130968289052,0.500907119283177,0.5903818065869345,-231.391768313676,0.5888646179232,-24.480465669087305,0.6801953331945321,2.907900518805918,0.1742954295435609,-8.218020040803042,0.0030648003266229,0.189459975681151,0.0026633193591323,0.0243431211181788,0.0001313402224364,0.043493647,0.0
95,95,5978754150055097856,352.2086589997113,2.2579353918365253,259.1660517391369,-34.20932210785478,0.8460353832653205,-4.578461198047264,-9.58142655229002,13.384944,14.112753,12.559786,-59.79472184100171,0.048164293,2.2579353918365253,-0.5970653056573527,0.0,13.384944,352.2086589997113,0.8460353832653205,0.0338501301524295,24.993565,-9.58142655229002,0.0358552936031639,-4.578461198047264,0.0617977056537715,6.831991167245689,0.0469707260455249,1.1826696144638975,4.523300912241916,r5978754150055097856,-66.57116267227333,3.464942821522828,-50.45575251768813,2.431708171167143,-11.727612914624968,0.3750518364910676,196.66266967550163,2.6123702705672134,2.5288212382851145,-189.8724930289684,2.432396175273374,50.99279012251921,3.464320845409344,4.937346491843988,0.3763338847044045,-6.829837243271682,0.0468185638547429,-0.160112199785537,0.0064061372714863,0.061568037340851,0.0018632011806019,0.047221385,0.0
96,96,2163640872614320512,87.7044190169661,0.0231797385547138,315.6861800204767,46.65111221308402,0.3497774037859863,-4.611507889343729,-4.502190640499067,14.14753,15.06397,13.195452,-64.23488024230844,0.088145845,0.0231797385547138,0.8142155078356547,0.0,14.14753,87.7044190169661,0.3497774037859863,0.0204758242659673,17.082458,-4.502190640499066,0.0432221200043254,-4.611507889343728,0.0365891415516238,8.38699469387496,0.0632619348426172,2.8590065435313545,5.509763244400859,r2163640872614320512,84.94075242956265,5.14792929327358,-67.15498846477371,1.3774163548754583,5.3963135899022925,0.6357943614438459,197.3371859686825,2.6634812179340632,2.7782808194599853,-194.35704975504632,2.179829516284058,-31.714718125112725,4.862788176596762,-12.70743210871083,0.6358621884920843,-7.885485098695727,0.0067036548660974,2.8566665392846256,0.1672280753751896,0.0161566291650529,6.770859200214838e-05,0.054614108,0.0
97,97,6336842031814423040,348.9155182298966,46.33148643664764,222.78787419284532,-5.576575510291196,2.7656277951264423,10.406340285630469,-0.8919300981557963,10.631399,10.920062,10.179358,-20.653430477144475,0.04167871,46.33148643664765,-0.0973296036406643,0.0,10.631399,348.91551822989663,2.7656277951264423,0.041394896423685,66.81084,-0.8919300981557963,0.0598791170388569,10.406340285630469,0.0605040251207075,7.760068802446476,0.0038087615823983,0.3725757454014961,3.888381938184055,r6336842031814423040,-2.915319729136902,0.6514912713183382,13.378615477158284,0.217130240326834,-23.654085689417137,0.671418347982689,253.1233603346117,0.2378542469108265,0.2218903759462751,-252.40312112269905,0.2171635216271036,-10.325508238282938,0.6515058872814892,16.046304067508594,0.671393401507827,-7.7549909457901025,0.0036672051241877,-0.0479999554657309,0.0007184456232132,0.2765488269581681,0.003914766340123,0.041340258,0.0
98,98,265963620719995648,156.5654732683195,8.154996293014884,78.38538102826966,52.95763991461439,0.9291843236702276,-2.491515263572067,-5.457126474845822,11.151666,12.021114,10.264819,-12.00592310046157,0.03976175,8.154996293014884,0.9242851805955898,0.0,11.151666,156.5654732683195,0.9291843236702276,0.0504080571987154,18.43325,-5.457126474845822,0.0662148714027263,-2.491515263572067,0.0755273594649654,8.989012260565516,0.0541964598298703,1.0784427272654364,1.3680829843736038,r265963620719995648,1.1269885907007529,0.7874588227649666,-17.45998846589725,0.7986300659678254,-27.83026920199973,1.3525134996901569,222.9091210399425,0.7102084940637049,0.8049303950187267,-221.95001791451568,0.7986054130319246,-2.1494281104491093,0.7877508708189803,20.543752075604434,1.3523579801451704,-8.977456419037841,0.0530268083790853,0.4236826679403152,0.0229846970246772,0.1676623444915593,0.0082819005844008,0.0402006129999999,0.0
99,99,2011369846558485248,113.42992636149016,-1.8214716104959412,353.80775883303176,59.63699290386828,0.9557992021540264,-16.906135123917657,-3.643150561675165,11.874942,12.845528,10.909883,-73.09550212297859,0.05858755,-1.8214716104959408,1.0408618821609956,0.0,11.874942,113.42992636149016,0.9557992021540264,0.024183504561496,39.522774,-3.643150561675165,0.033775382107754,-16.906135123917654,0.0376600949073236,8.470344671182762,0.013204740420654,1.0458755398343471,6.175110310738455,r2011369846558485248,107.67586552717869,2.0052502118284887,-32.179809034946345,0.9390567275213192,8.309037500551696,0.2615457002729498,239.0763035121835,1.7870533305560083,1.2857703107267822,-219.02304980861308,0.9602649762490588,-94.60761671303368,1.9951764214379728,-15.355175461816811,0.261580438106279,-8.41580520023815,0.0105206479917448,0.9594938388850996,0.0242769857697222,-0.0182552299419263,0.0008414194144353,0.069551714,0.0
